,link,name,rating,address,services,payment,atmosphere,spoken_lang
87,https://eatigo.com/sg/singapore/en/r/green-signature-century-square-3258,Green Signature @ Century Square,4.2 Stars,"['2 Tampines Central 5, #03-20/21/30 Century Square, Singapore 529509']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
88,https://eatigo.com/sg/singapore/en/r/green-signature-northpoint-city-2513,Green Signature @ Northpoint City,4.4 Stars,"['1 North Point Drive, #02-126 NorthPoint City Singapore 768019']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
89,https://eatigo.com/sg/singapore/en/r/greyhound-cafe-singapore-5000921,Greyhound Café Singapore,3.9 Stars,"['290 Orchard Road, Paragon, #01-25/25A, Singapore 238859']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Romantic Dates']","['English', 'Malay', 'Tamil', 'Chinese']"
90,https://eatigo.com/sg/singapore/en/r/grill-ninety-nine-5004125,Grill Ninety Nine,4.1 Stars,['142 Arab Street Singapore 199828'],"['Air Conditioning', 'Indoor dining']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'All day dining']",['English']
91,https://eatigo.com/sg/singapore/en/r/grin-affair-2982,Grin Affair,3.2 Stars,['Blk 505D Bishan Street 11 #01-408 Singapore 574505'],['Air Conditioning'],['Cash Only'],"['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
92,https://eatigo.com/sg/singapore/en/r/gu-thai-noodle-cafe-marina-square-5006029,Gu Thai Noodle Cafe @ Marina Square,3.8 Stars,"['6 Raffles Blvd, #03-131 Marina Square , Singapore 039594']","['Accept Credit Cards', 'WiFi', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Live music', 'Kids Friendly']","['English', 'Thai']"
93,https://eatigo.com/sg/singapore/en/r/gu-yue-golden-mile-tower-5006050,Gu Yue @ Golden Mile Tower,4 Stars,"['6001 Beach Road, Golden Mile Tower #B1-61, Singapore 199589']","['Child Friendly', 'parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Casual Dining', 'After Work Drinks', 'Family Friendly', 'Large Parties (>12)', 'Kids Friendly']","['English', 'Thai', 'Chinese']"
94,https://eatigo.com/sg/singapore/en/r/guilt-free-5007464,Guilt-Free,4 Stars,"['One Raffles Place, #01-03/04/05/06Singapore, Singapore 048616Singapore']","['Accept Credit Cards', 'Al fresco / Outdoor Seating', 'WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Cozy', 'Casual Dining', 'Friendly', 'All day dining']","['English', 'Chinese']"
95,https://eatigo.com/sg/singapore/en/r/gum-gang-won-korean-restaurant-1375,Gum Gang Won Korean Restaurant,4 Stars,"['55 Temple Street, Singapore 058600']",['parking (chargeable)'],['Cash Only'],"['Casual Dining', 'Family Friendly']",['English']
96,https://eatigo.com/sg/singapore/en/r/guo-se-tian-xiang-2469,Guo Se Tian Xiang,4.5 Stars,['100 TRAS STREET #02-14A 100 AM Singapore 079027'],['Air Conditioning'],['NETS'],"['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
97,https://eatigo.com/sg/singapore/en/r/gustoso-ristorante-italiano-5001446,Gustoso Ristorante Italiano,4.2 Stars,"['26 Jalan Selaseh, Seletar Hills Estate, Singapore 808445']",['Air Conditioning'],"['Master Card', 'Visa']","['Casual Dining', 'Romantic Dates', 'Family Friendly', 'Quiet Dinner']",['English']
98,https://eatigo.com/sg/singapore/en/r/hadramout-yemeni-cuisine-5007231,Hadramout Yemeni Cuisine,4 Stars,"['11 Bussorah Street, Singapore 199432']","['WiFi', 'Air Conditioning']",['American Express'],"['Casual Dining', 'Family Friendly']",['English']
99,https://eatigo.com/sg/singapore/en/r/hai-xian-lao-shaw-house-5002852,Hai Xian Lao @ Shaw House,4.3 Stars,"['350 Orchard Road, Isetan Scotts Shaw Centre, Level 4, Singapore 238868']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
100,https://eatigo.com/sg/singapore/en/r/happenstance-cafe-2773,Happenstance Café,4.1 Stars,"['35 Opal Cres, Singapore 328425']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Pets Friendly']","['English', 'Chinese']"
101,https://eatigo.com/sg/singapore/en/r/happy-dining-seafood-5003978,Happy Dining Seafood,4.1 Stars,"['50 Temple Street, Singapore 058595']","['Child Friendly', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
102,https://eatigo.com/sg/singapore/en/r/happy-hut-bistro-bar-5000257,Happy Hut Bistro & Bar,4 Stars,['2 Kallang Avenue #01-K1 CT Hub'],['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']","['English', 'Chinese']"
103,https://eatigo.com/sg/singapore/en/r/harry-s-boat-quay-2966,Harry's @ Boat Quay,4.5 Stars,"['28 Boat Quay, Singapore 049818']",['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
104,https://eatigo.com/sg/singapore/en/r/harry-s-chijmes-2967,Harry's @ CHIJMES,4.4 Stars,['30 Victoria Street #01-14 Singapore 187996'],['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
105,https://eatigo.com/sg/singapore/en/r/harry-s-china-square-central-5004090,Harry's @ China Square Central,4.6 Stars,['181 South Bridge Road #01-03 K2 Singapore 058743'],"['parking (chargeable)', 'Air Conditioning', 'Indoor dining']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
