,link,name,rating,address,services,payment,atmosphere,spoken_lang
119,https://eatigo.com/sg/singapore/en/r/california-pizza-kitchen-310,California Pizza Kitchen,4.3 Stars,"['442 Orchard Road #01-18 Claymore Connect, Singapore 238879']",['parking (chargeable)'],"['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks', 'Family Friendly', 'Kids Friendly']",['English']
120,https://eatigo.com/sg/singapore/en/r/canjob-taproom-2942,Canjob Taproom,4 Stars,"['50 Tiong Bahru Road, #01-03,  Singapore 168733']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Romantic Dates', 'Al Fresco']","['English', 'Chinese']"
121,https://eatigo.com/sg/singapore/en/r/carpenter-29-5005267,Carpenter 29,4.2 Stars,"['29 Carpenter Street , Singapore 059923']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family', 'All day dining']","['English', 'Chinese']"
122,https://eatigo.com/sg/singapore/en/r/caruso-ristorante-5000382,Caruso Ristorante,4.5 Stars,"['791 Bukit Timah Road #01-01, Singapore 269764']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Romantic Dates', 'After Work Drinks', 'Family Friendly']",['English']
123,https://eatigo.com/sg/singapore/en/r/casa-roma-ristorante-italiano-5004585,Casa Roma Ristorante Italiano,4.1 Stars,"['200 Turf Club #01-08, Singapore 287994']","['WiFi', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'NETS']","['Business Meetings', 'Family Friendly', 'Private Functions']",['English']
124,https://eatigo.com/sg/singapore/en/r/central-thai-kitchen-5002537,Central Thai Kitchen,4.1 Stars,"['180 Kitchener Road #B2-53/54, Singapore 208539']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Malay', 'Chinese']"
125,https://eatigo.com/sg/singapore/en/r/cha-cha-cha-mexican-restaurant-5004751,Cha Cha Cha Mexican Restaurant,4.1 Stars,"['32 Lorong Mambong, Singapore 277690']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)']",['English']
126,https://eatigo.com/sg/singapore/en/r/chai-chee-seafood-restaurant-2786,Chai Chee Seafood Restaurant,4.1 Stars,"['359 Changi Road, Singapore 419821']","['WiFi', 'parking (chargeable)', 'Halal Certified Restaurant', 'Air Conditioning']","['American Express', 'Diners', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Malay', 'Tamil', 'Chinese']"
127,https://eatigo.com/sg/singapore/en/r/chapter-55-3399,Chapter 55,4 Stars,"['55 Tiong Bahru Road, #01-37 Singapore 160055']",['Air Conditioning'],"['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
128,https://eatigo.com/sg/singapore/en/r/charlie-brown-cafe-5007384,Charlie Brown Cafe,4 Stars,"['8 Grange Road #04-01, Cineleisure OrchardSingapore, Singapore 239695Singapore']","['parking (chargeable)', 'Halal Certified Restaurant', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
